Alabaster Verizon,"225 S Colonial Dr Alabaster, AL 35007",(800) 880-1077,Alabaster,Alabama,35007,33.215623, -86.797656
Cellular Sales Albertville Verizon,"6961 US HWY 431 ALBERTVILLE, AL 35950",(256) 660-1707,Albertville,Alabama,35950,34.249750, -86.261097
TCC Alexander City Verizon,"949 MARKET PLACE ALEXANDER CITY, AL 35010",(256) 234-6563,Alexander city,Alabama,35010,32.916719, -85.940589
VICTRA ANDALUSIA Verizon,"170 COVINGTON MALL ANDALUSIA, AL 36420",(334) 767-3021,Andalusia,Alabama,36420,31.172401, -86.565077
Cellular Sales Anniston Verizon,"1910 QUINTARD AVE. ANNISTON, AL 36201",(256) 405-4317,Anniston,Alabama,36201,33.649160, -85.879642
VICTRA ARAB Verizon,"1522 NORTH BRINDLEE MOUTAIN PARKWAY ARAB, AL 35016",(256) 677-6085,Arab,Alabama,35016,34.323870, -86.502006
Victra Athens Verizon,"22041 Us Highway 72 Athens, AL 35613",(256) 444-3521,Athens,Alabama,35613,34.820160, -86.882412
Russell Cellular Atmore Verizon,"168 LINDBERG AVE ATMORE, AL 36502",(251) 368-1000,Atmore,Alabama,36502,31.147733, -87.494821
VICTRA AUBURN S COLLEGE ST Verizon,"1499 S COLLEGE ST AUBURN, AL 36832",(334) 521-3513,Auburn,Alabama,36832,32.582937, -85.585938
Russell Cellular Bay Minette Verizon,"906 MCMEANS AVE BAY MINETTE, AL 36507",(251) 937-2828,Bay minette,Alabama,36507,30.858609, -87.742025
Cellular Sales Bessemer Verizon,"812 ACADEMY DR BESSEMER, AL 35022",(205) 800-7272,Bessemer,Alabama,35022,33.322849, -86.971458
Trussville Verizon,"1420 Gadsden Hwy Birmingham, AL 35235",(800) 880-1077,Birmingham,Alabama,35235,33.624485, -86.647907
Hwy 280 Verizon,"1420 Gadsden Hwy Birmingham, AL 35235",(800) 880-1077,Birmingham,Alabama,35235,33.624485, -86.647907
Brookwood Verizon,"1420 Gadsden Hwy Birmingham, AL 35235",(800) 880-1077,Birmingham,Alabama,35235,33.624485, -86.647907
Riverchase Verizon,"1420 Gadsden Hwy Birmingham, AL 35235",(800) 880-1077,Birmingham,Alabama,35235,33.624485, -86.647907
TCC Birmingham Verizon,"1420 Gadsden Hwy Birmingham, AL 35235",(800) 880-1077,Birmingham,Alabama,35235,33.624485, -86.647907
VICTRA BOAZ Verizon,"2198 US HIGHWAY 431 BOAZ, AL 35957",(256) 281-4042,Boaz,Alabama,35957,34.196159, -86.196898
TCC Brent Verizon,"10462 HIGHWAY 5 BRENT, AL 35034",(205) 225-0441,Brent,Alabama,35034,32.911122, -87.271681
TCC Brewton Verizon,"2119 DOUGLAS AVENUE BREWTON, AL 36426",(251) 314-1000,Brewton,Alabama,36426,31.140984, -87.071111
TCC Butler Verizon,"103 EAST PUSHMATAHA STREET BUTLER, AL 36904",(205) 459-6400,Butler,Alabama,36904,32.100587, -88.260758
VICTRA CENTRE Verizon,"1935 W Main St CENTRE, AL 35960",(256) 680-3036,Centre,Alabama,35960,34.124328, -85.570557
VICTRA CLANTON Verizon,"1441 7TH STREET SOUTH CLANTON, AL 35045",(205) 217-4202,Clanton,Alabama,35045,32.799962, -86.676761
Cellular Sales Cullman Verizon,"5475-A AL HIGHWAY 157 NW CULLMAN, AL 35058",(256) 747-5223,Cullman,Alabama,35058,34.228856, -86.737261
Cullman Verizon,"5475-A AL HIGHWAY 157 NW CULLMAN, AL 35058",(256) 747-5223,Cullman,Alabama,35058,34.228856, -86.737261
Cellular Sales Daphne Verizon,"1501 A US HIGHWAY 98 DAPHNE, AL 36526",(251) 930-1063,Daphne,Alabama,36526,30.611152, -87.859918
Victra Daphne Verizon,"1501 A US HIGHWAY 98 DAPHNE, AL 36526",(251) 930-1063,Daphne,Alabama,36526,30.611152, -87.859918
Decatur AL Verizon,"1110 Beltline Rd SE Decatur, AL 35601",(800) 880-1077,Decatur,Alabama,35601,34.608016, -87.011052
VICTRA DEMOPOLIS Verizon,"1325 US HIGHWAY 80 W DEMOPOLIS, AL 36732",(334) 526-3244,Demopolis,Alabama,36732,32.429314, -87.914179
TCC Dothan Apple Ave Verizon,"103 APPLE AVE DOTHAN, AL 36303",(334) 702-4200,Dothan,Alabama,36303,31.266568, -85.401317
Dothan Verizon,"103 APPLE AVE DOTHAN, AL 36303",(334) 702-4200,Dothan,Alabama,36303,31.266568, -85.401317
Enterprise Verizon,"641 Boll Weevil Cir Enterprise, AL 36330",(800) 880-1077,Enterprise,Alabama,36330,31.305932, -85.864054
TCC Eufaula Verizon,"3215 S EUFAULA AVE. EUFAULA, AL 36027",(334) 232-4941,Eufaula,Alabama,36027,32.060643, -85.116624
Russell Cellular Fairhope Verizon,"333 GREENO RD S FAIRHOPE, AL 36532",(251) 929-7600,Fairhope,Alabama,36532,30.480713, -87.861306
Cellular Sales Florence Cloverdale Rd Verizon,"2606 CLOVERDALE ROAD FLORENCE, AL 35633",(256) 980-6198,Florence,Alabama,35633,34.875101, -87.798371
Florence AL Verizon,"2606 CLOVERDALE ROAD FLORENCE, AL 35633",(256) 980-6198,Florence,Alabama,35633,34.875101, -87.798371
Foley Verizon,"2104 S Mckenzie St Foley, AL 36535",(800) 880-1077,Foley,Alabama,36535,30.383999, -87.727359
VICTRA FOLEY Verizon,"2104 S Mckenzie St Foley, AL 36535",(800) 880-1077,Foley,Alabama,36535,30.383999, -87.727359
